,title,date,content
0,망막박리 무슨 질환일까요?,2021.08.17.,망막박리란 무엇인가? 망막은 우리 눈의 가장 안쪽에 위치해 있는 기관으로 여러 층의 막과 신경세포로 이루어져 있는 복잡한 구조물로 형태를 갖추고 있습니다. 망막은 각막과 수정체를 통과한 빛을 감지함으로써 시각...
1,망막박리 치료방법인 공막돌륭술이란?,5일 전,망막이 안구 내벽으로부터 떨어져 들뜨게 되는 병적 상태를 망막박리라고 합니다. 망막이 들뜨면 망막에 영양공급이 되지 않아 시세포 기능이 점차 나빠져 시력이 떨어지게 됩니다. 망막박리 기간이 길어질수록 회복...
2,범죄심리학자 이수정 교수가 겪은 ‘망막박리란?’ (+증상),2021.08.23.,"망막 박리의 범위, 기간, 황반 박리 여부에 등이 병의 경과가 달라지며, 망막박리에 합병되어 백내장, 안압 상승 망막전막 등이 발생할 수 있다.  망막박리의 입원기간은 망막박리의 종류와 수술 방법에 따라 3일에서 그..."
3,"망막박리 증상, 눈 앞에 먼지 보인다면 의심해봐야",2021.08.11.,박리된 망막을 다시 붙여준다 할지라도 망막박리는 여러 가지 후유증을 동반할 수 있는데요. 망막이 떨어진 시간이 오래 될수록 정상 기능으로의 회복이 어려울 수 있으며 특히 망막박리가 황반부까지 진행된 경우 수술을...
4,망막박리 증상 및 원인과 살펴볼 점들은?,어제,들어가 망막의 일부 또는 전부가 안구 벽과 떨어진 상태를 망막박리라고 할 수 있습니다. 망막박리가 발생하는 경우 시야의 결손이 나타날 수 있으며 박리가 진행되면서 시야결손 부위가 점점 커질 수 있고 마치 앞이...
5,망막박리 증상 원인 망막열공,2021.07.07.,망막박리 증상 망막박리 증상은망막의 주변에서 박리가 서서히 진행돼 심각하기 전까지는 증상이 감지되지 않을 수도 있습니다  대표적인 증상은 섬광이나 검은 반점 같은 것이 떠다니는 것처럼 보이는 증상이 생깁니다....
6,망막박리수술 고려 대상은?,2021.08.12.,그리고 지금부터 알아볼 망막박리는 신경상피가 망막색소상피로부터 분리된 상태를 말하는 것으로 망막층이 여러 원인들로 인해 찢어지게 되어 눈 속 수분이 새어 들어가 망막 일부 및 전체가 안구벽으로 부터 분리되는...
7,망막박리 레이저 치료 - 초기에 발견하면 막을 수 있습니다.,2021.08.11.,아래 포스팅을 클릭하시면 지난번에 설명드린 망막 레이저 치료에 대해 보실 수 있습니다 ^^ https://blog.naver.com/kingeye367/222357642750 오늘은 망막열공으로 인한 망막박리의 진행을 막기 위해 시행한망막 레이저 치료에...
8,망막박리 재수술.. '유리체절제술+백내장' 수술 후기,2021.07.25.,대어 박리를 막는 것이다. 수술을 하고 2년 동안 별 탈 없이 지냈다. 검진도 꾸준히 갔지만 저번 4월에도 망막... # 망막박리 재박리.. 유리체절제술... 일단 대학병원에 가려면 일반 병원 소견서가 필요했기에 근처 동네...
9,망막박리 원인 눈에 충격을 받았다면,9시간 전,"오늘은 함께 망막박리 원인을 알아보는 시간을 가져보도록 하겠습니다. 망막은 여러 층으로 이루어졌으며, 층과 층 사이에 공간이 존재합니다. 언제든지 떨어질 수 있는 가능성을 염두에 두어야 하는데요. 확률은 매년 1만..."
10,망막 박리수술 후 필요한 물건들 여쭤봐요,2021.08.23.,망막박리 수술을 잡으셨습니다 ᆢ30프로정도 떼어진상태라고 하셔서 급하게 김안과에서 수술날짜를 잡으셨네요 ~수술후에 필요한 물품들이 뭐가 있는지 경험하신분들 충고부탁드립니다ᆢ 네이버에 망막박리 수술후에...
11,망막박리 수술 관련 질문요,2021.08.18.,망막박리로 레이저 치료를 안과전문병원에서 하였는데요...만약 수술을 진행해야 한다면 레이저 받았던 안과병원에서 하는게 나을지 아님 대학병원 가서 하는게 나을지요???답변 미리 감사드립니다
12,망막박리병원 근시가 원인일까,2021.07.21.,그러나 그런 망막에 문제가 발생하게 되면서 시력이 저하되고 사물을 편히 볼 수 없다는 불편함을 가져다 주게 되는 것이니 망막방리병원을 찾아야 하는 것이죠. 망막박리병원 원인으로는 근시가 있는지에 대해 가장 먼저...
