공원명,지역,경도,위도,면적,분류,크기
남산도시자연공원,중구,126.9903773,37.5501402,2896887,대형,15
길동생태공원,강동구,127.1547791,37.5403935,80683,소형,3
서울대공원,과천시,127.01984650000001,37.4264494,9132690,대형,15
서울숲,성동구,127.0417982,37.5430717,480994,중형,7
월드컵공원,마포구,126.87890700000001,37.571805,2284085,대형,15
광화문시민열린마당,종로구,126.9780227,37.575044899999995,8948,소형,3
진관근린공원(구파발폭포),은평구,126.9192155,37.6370244,0,소형,3
중마루근린공원,영등포구,126.9112668,37.519832,6456,소형,3
응봉공원,성동구,127.0217653,37.5572281,80309,소형,3
매화근린공원,강서구,126.86115,37.5575833,1980,소형,3
성수근린공원,성동구,127.05240230000001,37.5448144,5198,소형,3
샛마을근린공원,강동구,127.1471618,37.5504807,11467,소형,3
여의도근린공원,영등포구,126.922377,37.526129,229539,중형,7
간데메근린공원,동대문구,127.04886440000001,37.57324379999999,15180,소형,3
훈련원근린공원,중구,127.0038188,37.5675245,16735,소형,3
영등포근린공원,영등포구,126.91066200000002,37.515423,61544,소형,3
보라매근린공원,동작구,126.91828899999999,37.492333,424106,중형,7
어린이대공원,광진구,127.0809212,37.5498987,560552,중형,7
천호근린공원,강동구,127.1263451,37.5444741,26697,소형,3
용산가족공원,용산구,126.98333500000001,37.522226,75900,소형,3
독립근린공원,서대문구,126.956771,37.5738289,113022,중형,7
낙산근린공원,종로구,127.00758700000002,37.580477,201779,중형,7
양재시민의숲,서초구,127.03504199999999,37.471225,258991,중형,7
관악산도시자연공원,관악구,126.96413000000001,37.445208,10420819,대형,15
효창근린공원,용산구,126.95993,37.545234,171294,중형,7
감로천생태공원(관악산),금천구,126.9079509,37.469625,15000,소형,3
개운산근린공원,성북구,127.0252858,37.596583700000004,297926,중형,7
개웅산근린공원,구로구,126.84857340000002,37.4888943,411972,중형,7
경희궁,종로구,126.9685341,37.570772999999996,98470,소형,3
국립현충원,동작구,126.97368490000001,37.4998621,2038741,대형,15
계남근린공원,양천구,126.84796429999999,37.513835799999995,603715,중형,7
고척근린공원,구로구,126.85214950000001,37.5042944,108120,중형,7
파리근린공원,양천구,126.87639320000001,37.5349739,29619,소형,3
허준공원,강서구,126.8526745,37.5679874,29844,소형,3
궁동근린공원,서대문구,126.9229851,37.5690506,126026,중형,7
궁산근린공원,강서구,126.838952,37.5735645,135003,중형,7
까치산근린공원,동작구,126.96407350000001,37.4845836,384026,중형,7
꿩고개근린공원,강서구,126.8157075,37.5801585,180000,중형,7
노량진공원,동작구,126.928607,37.510234000000004,416031,중형,7
답십리근린공원,동대문구,127.0626512,37.5750896,160720,중형,7
대모산도시자연공원,강남구,127.0809639,37.4796489,2277252,대형,15
탑골근린공원,종로구,126.98828529999999,37.5710052,19600,소형,3
갈산근린공원,양천구,126.8689146,37.5082119,138596,중형,7
천마근린공원,송파구,127.1586644,37.5005173,185295,중형,7
도곡근린공원,강남구,127.0450338,37.490312700000004,254648,중형,7
도산근린공원,강남구,127.03502959999999,37.524675200000004,29816,소형,3
청량공원,성북구,127.0511145,37.6020055,762642,중형,7
초안산근린공원,도봉구,127.0455446,37.648315999999994,664905,중형,7
동명근린공원,강동구,127.1676703,37.5598341,99600,소형,3
마로니에공원,종로구,127.00278859999999,37.5802295,5802,소형,3
자매근린공원,영등포구,126.9302895,37.5177329,16500,소형,3
장지근린공원,송파구,127.1387,37.4957083,585652,중형,7
명일근린공원,강동구,127.16136409999999,37.553714299999996,649710,중형,7
방화근린공원,강서구,126.8132285,37.5819812,72132,소형,3
아시아근린공원,송파구,127.0762885,37.5102779,66028,소형,3
배봉산근린공원,동대문구,127.06416229999999,37.5812324,265582,중형,7
안산도시자연공원,서대문구,126.9390273,37.5798246,2088705,대형,15
염창근린공원,강서구,126.8689817,37.55797020000001,112070,중형,7
백련근린공원,서대문구,126.92861599999999,37.587966200000004,993724,중형,7
오금근린공원,송파구,127.13239569999999,37.5038715,219167,중형,7
오동근린공원,강북구,127.03172690000001,37.6327957,1349556,대형,15
봉산도시자연공원,은평구,126.90201529999999,37.604071000000005,1511198,대형,15
