id,Species,Island,Clutch Completion,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Body Mass (g)
0,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50,15.3,220,MALE,8.30515,-25.19017,5550
1,Chinstrap penguin (Pygoscelis antarctica),Dream,No,49.5,19,200,MALE,9.63074,-24.34684,3800
2,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.1,14.4,210,FEMALE,8.51951,-27.01854,4400
3,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,44.5,14.7,214,FEMALE,8.20106,-26.16524,4850
4,Gentoo penguin (Pygoscelis papua),Biscoe,No,49.6,16,225,MALE,8.38324,-26.84272,5700
5,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,51.1,16.5,225,MALE,8.2066,-26.36863,5250
6,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,42,20.2,190,,9.13362,-25.09368,4250
7,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,46.4,18.6,190,FEMALE,9.32105,-24.64162,3450
8,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,34.1,18.1,193,,,,3475
9,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,47.7,15,216,FEMALE,8.53018,-26.72751,4750
10,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,52.8,20,205,MALE,9.25177,-24.69638,4550
11,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,36.2,17.3,187,FEMALE,8.90723,-26.30037,3300
12,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.6,14.2,210,FEMALE,8.38289,-26.86352,4850
13,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,43.5,14.2,220,FEMALE,8.64931,-26.68867,4700
14,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,41.1,18.2,192,MALE,8.62264,-26.60023,4050
15,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.1,15,225,MALE,8.50153,-26.61414,5000
16,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.5,14.5,213,FEMALE,7.90436,-25.3947,4400
17,Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,37.7,16,183,FEMALE,9.2151,-26.2253,3075
18,Adelie Penguin (Pygoscelis adeliae),Dream,No,39.8,19.1,184,MALE,,,4650
19,Adelie Penguin (Pygoscelis adeliae),Dream,No,39.7,17.9,193,MALE,9.25769,-25.88798,4250
20,Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,38.8,17.6,191,FEMALE,8.88098,-25.89741,3275
21,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49.8,17.3,198,FEMALE,9.32169,-24.41562,3675
22,Gentoo penguin (Pygoscelis papua),Biscoe,Yes,43.5,15.2,213,FEMALE,8.21634,-26.11046,4650
23,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,41.1,17.5,190,MALE,8.94365,-26.06943,3900
24,Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,45.6,19.4,194,FEMALE,9.46985,-24.65786,3525
25,Adelie Penguin (Pygoscelis adeliae),Dream,Yes,34,17.1,185,FEMALE,8.01485,-26.69543,3400
