index,송하인_격자공간고유번호,수하인_격자공간고유번호,물품_카테고리,운송장_건수
0,5011000595017300,2871000192069300,음반,3
1,4148000690043300,5011000264024400,문화컨텐츠,3
2,5011000078068400,1120000007005400,농산물,3
3,4127100048006400,5011000587019400,기타식품,7
4,5011000078068400,2823700010076300,농산물,3
5,5013000778073200,4159000114016400,농산물,6
6,5011000316024300,4827000369060200,수산,5
7,5013000740006400,4111700017039400,농산물,3
8,4136000209094100,5013000823053400,아우터,3
9,5011000315056100,4127100026035200,농산물,8
10,5011000525070400,4119900016030200,농산물,3
11,5013000731055200,4111300020084100,농산물,3
12,4146300018047300,5011000263069100,신발,3
13,5013000823047200,1156000002086300,농산물,5
14,5011000078068400,4717000827022100,농산물,3
15,5011000137030100,2915500021039400,농산물,4
16,4725000538021400,5011000596012200,기타식품,4
17,4150000241045200,5013000127047200,건강식품,3
18,5013000828084200,2818500009055200,농산물,4
19,5011000595017300,2729000009018200,음반,3
20,5013000354052200,4711300748081300,농산물,5
21,5013000691060200,3020000163089400,농산물,5
22,5011000324090300,4423000431057300,음료,3
23,5013000572007300,1117000003088100,농산물,3
24,5011000373048400,2818500026040300,음료,3
25,5011000078068400,4139000018006100,농산물,3
26,5013000731055200,4817000323084100,농산물,3
27,5013000610049100,1111000026029200,농산물,3
28,5011000535028300,2914000006020300,농산물,5
29,5011000437099200,1129000021088200,농산물,5
30,5011000078068400,4115000039042300,농산물,3
31,5013000622057100,4223000021033400,농산물,3
32,5013000821028200,4874000124048200,농산물,3
33,5013000170064100,1126000003028400,가공식품,10
34,5013000354052200,1162000002022400,농산물,7
35,5011000078068400,4127100055011300,농산물,4
36,5013000740006400,1147000004017400,농산물,3
37,5011000213090100,3611000092003200,농산물,3
38,4682000971004300,5011000533051300,스킨케어,3
39,5011000078068400,4128700035009100,농산물,3
40,5011000313069200,4371000372100400,축산,9
41,5011000199044400,4213000256060100,농산물,3
42,5013000785045400,4213000279091100,농산물,3
43,5013000610049100,4113500010006300,농산물,3
44,5011000685067100,1150000030066300,농산물,3
45,5013000731055200,3014000012022100,농산물,3
46,4128500008095200,5011000263070200,가공식품,4
47,5013000622057100,2635000059017200,농산물,3
48,5011000078068400,4812100196083300,농산물,4
49,5013000610049100,1150000016085200,농산물,3
50,5011000228004400,4159000599080400,건강식품,3
51,2614000009036100,5011000431021100,농산물,3
52,3023000012008100,5011000169084300,건강식품,3
53,5011000078068400,4111100020085400,농산물,5
54,5011001027036200,4521000303066100,농산물,7
55,5011001086004300,4139000118082300,농산물,3
56,5011000422097100,4822000241031400,농산물,4
57,4159000685057100,5011000215099200,헤어케어,4
58,4682000830009400,5013000862058100,농산물,3
59,2826000085023400,5011000317002400,건강식품,3
60,5011000316024300,4514000396098400,수산,5
61,5013000610049100,2820000035083300,농산물,3
62,5011000078068400,2823700010077300,농산물,6
63,5011000078068400,4221000014058400,농산물,3
64,4146300005091100,5011000320036300,기저귀/물티슈,3
65,4371000161085100,5011000373016400,의료용품,77
66,5013000273039200,4681000232002300,농산물,3
67,3011000053088100,5011000314088200,기타디지털/가전,9
68,5011000433043400,4127300065073100,상의,5
69,4141000031030100,5011000370022100,건강용품,11
70,5013000610049100,4136000282045400,농산물,5
71,5011000437099200,4311300074017300,농산물,3
72,4137000019060200,5011000173040100,바디케어,6
73,5011000078068400,2917000094062400,농산물,3
74,4377000254047200,5013000396069300,기타스포츠/레저,5
75,5011000169080300,2635000046018100,음료,7
76,5011000078068400,2729000019047100,농산물,6
77,5011000078068400,4511100059042100,농산물,3
78,4146100403068100,5011000219010300,상의,3
79,5013000777063100,4145000006041300,농산물,3
80,5013000571005200,1135000016094200,농산물,3
81,5013000616057100,2771000078032200,농산물,3
82,4148000427007400,5011000429017300,출산/유아동의류,4
83,5011000168079400,4613000265096400,수산,3
84,5013000785045400,4183000779095200,농산물,6
85,5013000610049100,2811000052092400,농산물,10
86,5011000436041400,1168000025047300,농산물,3
87,5013000610049100,2626000004098300,농산물,3
88,5013000863096300,4311100012003100,농산물,3
89,5011000326012100,4128500032092300,농산물,3
90,5013000616057100,4281001185013300,농산물,3
91,5013000617099100,2820000042077200,농산물,3
92,5013000821028200,1168000013007400,농산물,5
93,4141000031030100,5011000594035200,스킨케어,3
94,5011000767075300,1154500001048400,축산,8
95,5013000817046300,1126000015056200,농산물,3
96,5011000078068400,4119700009053300,농산물,3
97,5011000262035400,4139000087004100,기타식품,3
98,5011000078068400,4146300029038400,농산물,4
99,1150000030012200,5013000785043300,농산물,7
100,4136000216029100,5011000219002100,반려동물,3
101,5011000767094200,2644000133096300,완구/매트,3
102,5011000228054400,2818500008020100,과자,4
103,4148000690015300,5011000314090100,문화컨텐츠,4
104,5011000437099200,2824500028097300,농산물,4
105,4136000216029100,5011000264080400,생활용품,4
106,5011000685067100,1135000017062100,농산물,4
107,4146100378048400,5011000319062400,아우터,3
108,5013000610049100,1129000005025200,농산물,3
109,4148000690015300,5011000373038200,문화컨텐츠,5
110,5013000777063100,1130500013014200,농산물,3
111,5011000228093100,1114000001017400,농산물,3
112,5011000078068400,2635000039061400,농산물,3
113,5011001108080200,2723000090044300,과자,3
114,5011000078068400,4684000253008100,농산물,3
115,5013000824069200,4159000606053100,농산물,3
116,4157000306018300,5011000721056300,기저귀/물티슈,3
117,4141000031030100,5011000316031300,하의,3
118,1120000016014200,5013000862020200,신발,3
119,5011000213090100,4311100053096300,농산물,6
120,5011000078068400,4117300013080100,농산물,3
121,5011000437099200,1171000017011300,농산물,3
122,5011000272063400,2917000060077400,음료,3
123,5011001095042400,4219000121086300,기타식품,4
124,4137000004003200,5013000894007200,문구/사무용품,3
125,5011000137030100,4427000312002200,농산물,3
126,4471000114055400,5011000259007300,헤어케어,27
127,4113500034035400,5011000314069300,선케어,37
128,4159000429094300,5011000266081300,생활용품,3
129,5013000809098300,4111300011021400,농산물,10
130,5011001034043300,4812500013091300,농산물,3
131,4141000031030100,5011000314070200,다이어트식품,4
132,4122000363057300,5011000377088400,건강식품,16
133,5013000839009300,4159000342006400,농산물,3
134,5011000543041100,4139000088062400,기타패션의류,3
135,5013000610049100,4721000408083100,농산물,4
136,5011000078068400,4615000599014400,농산물,3
137,5011000178007200,4146300039078200,농산물,3
138,5013000777063100,1168000008034200,농산물,5
139,5013000205030200,2823700015068100,농산물,3
140,5011001060063300,4127300027095200,농산물,5
141,5013000610049100,4121000009032400,농산물,3
142,4141000031009400,5011000174063300,가공식품,4
143,4514000193039100,5013000674093300,농산물,3
144,5011000316024300,4514000400097200,수산,3
145,5013000821028200,1171000014091400,농산물,3
146,4141000031009400,5013000866045300,가공식품,3
147,5013000854017300,1147000011041300,농산물,5
148,5011000078068400,4812100207003400,농산물,3
149,5013000734079400,3114000017054100,축산,5
150,5011000078068400,2614000004077200,농산물,4
151,4163000083095400,5011000218061100,기타식품,4
152,1117000009037100,5011000264100200,기타디지털/가전,3
153,4157000306018300,5011000367022200,생활용품,3
154,5011000595017300,4812500020057400,음반,3
155,5013000723077100,4122000298080300,농산물,5
156,4141000031030100,5011000266047300,바디케어,3
157,5011000078068400,2920000092029100,농산물,5
158,4122000363057300,5013000782056100,반려동물,3
159,5011000582021400,4831000231092200,축산,5
160,5011000078068400,4831000254017200,농산물,3
161,5011000137023400,4115000044082300,가공식품,5
162,5013000610049100,4157000210048200,농산물,3
163,5011000078068400,2814000003099200,농산물,3
164,5013000832003400,1156000018096200,농산물,3
165,5011000968068300,2723000037021300,농산물,7
166,5011000214049400,4418000265069400,농산물,8
167,2620000005018100,5013000770034100,냉동/간편조리식품,3
168,5011000266051200,4148000585028400,농산물,4
169,5013000581065400,2771000336043400,농산물,3
170,5011000316024300,4313000639029100,수산,11
171,5013000740006400,2826000067090400,농산물,4
172,5011000078068400,3020000163096200,농산물,6
173,4146100002027300,5011000320081200,네일케어,3
174,5011000078068400,1150000038064100,농산물,4
175,5013000731055200,1129000009088400,농산물,3
176,5013000731055200,4163000105092300,농산물,4
177,5011000078068400,4159000342015400,농산물,3
178,4127300065073100,5011000373065300,건강용품,4
179,5011000078068400,2817000021016300,농산물,4
180,5013000610049100,4119500001075200,농산물,3
181,4375000215040400,5011000373027300,냉동/간편조리식품,3
182,4159000429094300,5011000092011400,가공식품,4
183,5011001007011200,3017000027099100,농산물,24
184,5011000314031200,2826000142055100,냉동/간편조리식품,3
185,5011000078068400,1171000002012100,농산물,3
186,5011000595017300,1168000013070100,음반,4
187,5011000078068400,4113100020098300,농산물,6
188,5011000326012100,4783000287028300,농산물,3
189,2714000172001200,5011000214079400,서재/사무용가구,3
190,3020000113067200,5013000809096300,과자,10
191,4148000690015300,5011000319033200,문화컨텐츠,31
192,5013000513092400,4278000581055100,농산물,4
193,5013000610049100,4141000003014200,농산물,3
194,5011000137030100,4113100025018200,농산물,3
195,4141000031030100,5011000314070200,반려동물,3
196,5013000691060200,2914000020019300,농산물,3
197,5011000078068400,1121500011072400,농산물,5
198,5013000692034400,1168000013095400,농산물,3
199,5013000610049100,4511300074034300,농산물,6
200,1165000006069300,5013000467039100,문구/사무용품,4
201,5011000078068400,1153000006025100,농산물,5
202,4161000144040200,5011000313030100,건강식품,8
203,3171000791037400,5011000035010300,기타식품,9
204,4148000699072200,5013000635005300,음반,30
205,5013000821028200,1147000011009400,농산물,4
206,5013000624091200,3011000084075100,농산물,3
207,5013000821028200,4122000314092300,농산물,3
208,2650000007007100,5011000112053100,기타식품,3
209,5011000314059300,3611000373004300,음료,4
210,1168000007002200,5011000373011400,선글라스/안경테,3
211,5013000618013100,4111700020045400,과자,5
212,2647000008065400,5013000732081200,기타식품,5
213,1168000015064300,5011000266003200,기타화장품/미용,3
214,1129000022055300,5013000635072300,하의,3
215,5011000420060100,4159000303004200,농산물,3
216,5013000858034200,2818500027005400,농산물,4
217,4377000369095300,5011000373064400,아우터,3
218,5013000608075200,4127300008093100,농산물,3
219,5011000137030100,4146300010023200,농산물,3
220,4311100052060100,5011000319051100,등산,3
221,1117000009079100,5011000315076100,모니터,5
222,5011000685067100,2635000059017200,농산물,6
223,5011000078068400,2729000021081400,농산물,4
224,4145000082015200,5011000423093100,수산,4
225,5011000377088400,2920000165057200,축산,3
226,5013000731055200,2826000031056200,농산물,3
227,4157000306018300,5011000672072300,주방용품,3
228,5013000610049100,1123000006078100,농산물,3
229,5013000777063100,4514000358080400,농산물,6
230,5013000733025400,4822000217100300,농산물,6
231,5013000617099100,2824500032056200,농산물,3
232,5011000078068400,4150000154041100,농산물,3
233,4150000241045200,5011000314075300,건강식품,18
234,5013000610049100,4139000018034400,농산물,3
235,5011000685067100,2824500006026300,농산물,4
236,5013000731055200,4671000224039400,농산물,3
237,4511300030055300,5013000014003100,냉동/간편조리식품,3
238,5013000731055200,4139000110020100,농산물,4
239,4146100146003300,5011000319022200,문구/사무용품,6
240,5013000524039300,1150000030035300,농산물,4
241,5013000731055200,1138000021002200,농산물,3
242,5011000137030100,4127300025034200,농산물,3
243,4157000128031400,5011000258050200,축산,6
244,5013000622057100,4480000134082100,농산물,3
245,2818500012018400,5011000168084200,기타식품,3
246,5011000375010100,2632000004052400,농산물,4
247,5011000478099100,3023000064020300,농산물,4
248,4141000031030100,5011000485007200,색조메이크업,3
249,5013000821028200,1135000012060300,농산물,4
250,5013000817046300,1150000024052400,농산물,3
251,5011000078068400,1129000023055100,농산물,3
252,5013000235040100,1123000004035400,농산물,3
253,5013000821028200,2917000038001400,농산물,3
254,4141000031030100,5011000313008400,침구세트,3
255,5013000205048400,2729000040004300,농산물,5
256,5013000777063100,3017000033030100,농산물,5
257,5011000685067100,4719000594013100,농산물,3
258,5011000078068400,2823700002090400,농산물,3
259,5013000803023100,1120000001028400,농산물,3
260,5011000137030100,3011000053053100,농산물,3
261,5011000137030100,4825000412052100,농산물,3
262,5011000199044400,2818500033010100,농산물,4
263,5013000610049100,1159000011014400,농산물,3
264,5013000777063100,2911000010069200,농산물,4
265,5013000616057100,4137000039079200,농산물,3
266,4148000690015300,5011000316051200,문화컨텐츠,3
267,5013000731055200,4148000672005300,농산물,7
268,5011000318079400,1171000023026200,농산물,10
269,5013000821028200,4719000435061100,농산물,3
270,5013000622057100,4163000159071100,농산물,3
271,5013000821028200,4825000421096100,농산물,3
272,5013000821028200,2826000142060300,농산물,5
273,5011000078068400,2826000026042200,농산물,4
274,4128500007025200,5011000556069300,침구단품,3
275,5013000731055200,4163000138089300,농산물,3
276,5011000137030100,4159000179020300,농산물,3
277,5011000424078200,4514000381003300,농산물,3
278,4372000406047400,5011000157058300,농산물,3
279,5011000525070400,2820000055098300,농산물,3
280,5013000610049100,1144000018051300,농산물,3
281,4148000690015300,5011000263066100,문화컨텐츠,3
282,5011000437099200,4371000159061300,농산물,3
283,5013000783057100,3011000060079300,농산물,3
284,5011000078068400,4479000071002200,농산물,3
285,4148000626030400,5011000319087400,가공식품,100
286,5013000851012100,4415000483031400,기타패션의류,4
287,5013000673010300,2653000003010100,농산물,3
288,5013000624091200,2817000009057300,농산물,3
289,5011000225012300,2818500014035100,음료,3
290,5011000215098200,5011000266093200,냉동/간편조리식품,3
291,5011001074083100,4514000398048100,농산물,5
292,5013000777063100,1141000008069400,농산물,3
293,5011000595017300,4161000163031100,음반,3
294,5011000078068400,4146300009053300,농산물,3
295,5011000213090100,4519000332089200,가공식품,3
296,5011000078068400,4159000383063400,농산물,4
297,5013000043054100,2914000014069400,농산물,3
298,4146100146003300,5011000319022400,문구/사무용품,3
299,5011000375010100,4128500048080200,음료,3
300,5011000078068400,4157000290019200,농산물,3
301,5011000078068400,4128100111047200,농산물,3
302,4113500004083400,5011000264090300,인테리어소품,3
303,4427000366060200,5011000544072300,건강식품,5
304,5011000078068400,2818500045039100,농산물,3
305,4213000356075200,5011000266021300,냉동/간편조리식품,3
306,5011000078068400,4513000190026200,농산물,5
307,5013000854017300,4117300024042100,농산물,4
308,4161000402022400,5011000318032100,생활용품,3
309,4148000690015300,5013000626058400,문화컨텐츠,3
310,5011000368010400,4725000719093400,농산물,4
311,5013000777063100,1150000024058100,농산물,3
312,5013000056001300,4713000426076400,농산물,3
313,4579000177091200,5011000173064200,축산,3
314,5013000754028300,2826000087078100,농산물,3
315,5013000826031400,2771000111067100,농산물,3
316,5013000731055200,2817000021020100,농산물,3
317,5011000437099200,4482500367016400,농산물,5
318,5013000854086200,1156000008087100,농산물,7
319,5013000735079200,2717000016004300,농산물,12
320,5011000178097200,1121500015099300,농산물,8
321,4161000271049100,5013000828031200,인테리어소품,3
322,5013000765096400,1171000030036400,농산물,3
323,5013000821028200,4421000446044100,농산물,3
324,5013000821078200,1130500015063200,농산물,3
325,5011000313069200,3611000164010200,축산,20
326,5011000137030100,4514000456014400,농산물,3
327,5011000078068400,4825000341028100,농산물,3
328,5013000685046100,3014000024094400,농산물,3
329,5011000183026200,4511100012039100,농산물,3
330,5011000316024300,4514000335082200,수산,5
331,5013000777063100,4148000336045400,농산물,3
332,5011000213090100,2644000142018100,농산물,3
333,5013000354052200,2726000025097200,농산물,3
334,5011001077072100,2817000002058100,농산물,5
335,5011000078068400,4888000549075400,농산물,3
336,5013000610049100,1171000021005400,농산물,3
337,4825000320060400,5011000312074200,수산,3
338,5013000731055200,2726000025008300,농산물,4
339,5011000137030100,4311100058094300,농산물,4
340,5013000610049100,4143000010001400,농산물,3
341,5013000827049100,4115000027045100,농산물,4
342,5011000424078200,3171000621001400,농산물,3
343,5013000731055200,2632000020049400,농산물,3
344,5013000765096400,4713000362029100,농산물,4
345,5013000610049100,2647000010040200,농산물,3
346,5013000871062200,4113500018082400,농산물,3
347,4128500028049400,5011000305080400,음료,8
348,5011000264026100,5011000376003100,양말/스타킹,8
349,5013000858004300,4121000014080400,농산물,4
350,5011000137030100,2714000077085300,농산물,6
351,5011000173096100,1174000010100300,농산물,3
352,5013000897086300,4315000173071100,농산물,3
