기간	지역	인구	면적	인구밀도(명/㎢)
2020	합계	9,911,088	605.23	16,376
2020	종로구	158,996	23.91	6,649
2020	중구	134,635	9.96	13,517
2020	용산구	244,645	21.87	11,188
2020	성동구	300,505	16.86	17,822
2020	광진구	360,109	17.06	21,105
2020	동대문구	357,014	14.22	25,114
2020	중랑구	399,562	18.5	21,603
2020	성북구	447,056	24.58	18,190
2020	강북구	311,569	23.6	13,202
2020	도봉구	327,361	20.65	15,852
2020	노원구	527,032	35.44	14,872
2020	은평구	484,043	29.71	16,292
2020	서대문구	322,952	17.63	18,322
2020	마포구	381,858	23.85	16,011
2020	양천구	457,781	17.41	26,301
2020	강서구	585,901	41.44	14,140
2020	구로구	432,488	20.12	21,496
2020	금천구	247,835	13.02	19,035
2020	영등포구	407,367	24.55	16,595
2020	동작구	401,572	16.35	24,555
2020	관악구	509,803	29.57	17,241
2020	서초구	429,025	46.98	9,132
2020	강남구	544,055	39.5	13,773
2020	송파구	673,926	33.87	19,896
2020	강동구	463,998	24.59	18,869
