지역,공원면적,공원수,인구,면적,면적비율,인당면적
강남구,3626398,7,544055,39500000.0,9.180754430379746,6.665498892575199
강동구,1526390,7,463998,24590000.0,6.207360715738105,3.289647800206035
강북구,3714902,4,311569,23600000.0,15.741110169491526,11.923208021337167
강서구,2194154,9,585901,41440000.0,5.294773166023166,3.744922777056192
관악구,10431453,2,509803,29570000.0,35.277149137639505,20.46173325774858
광진구,584002,2,360109,17060000.0,3.423223915592028,1.6217367519278885
구로구,1617657,4,432488,20120000.0,8.040044731610339,3.7403511773737073
금천구,57568,4,247835,13020000.0,0.4421505376344086,0.23228357576613473
노원구,12024307,2,527032,35440000.0,33.92863148984199,22.8151364623021
도봉구,1084218,6,327361,20650000.0,5.250450363196126,3.3119950146779855
동대문구,458664,4,357014,14220000.0,3.2254852320675105,1.284722727960248
동작구,3706739,7,401572,16350000.000000002,22.671186544342508,9.230571354576515
마포구,2685112,5,381858,23850000.0,11.258331236897275,7.031702884318254
서대문구,3321477,4,322952,17630000.0,18.839914917753827,10.284738908568457
서초구,13359636,6,429025,46980000.0,28.43685823754789,31.139527999533826
성동구,626839,5,300505,16860000.0,3.717906287069988,2.0859519808322657
성북구,1198327,3,447056,24580000.0,4.875211554109032,2.680485218854014
송파구,2838993,7,673926,33870000.0,8.382028343666962,4.212618299338503
양천구,1203428,5,457781,17410000.0,6.912280298678921,2.6288290689216023
영등포구,424446,5,407367,24550000.0,1.7289042769857432,1.0419253400496358
용산구,247194,2,244645,21870000.0,1.1302880658436214,1.0104191788101127
은평구,2986459,7,484043,29710000.0,10.052032985526758,6.169821689395364
종로구,3907681,12,158996,23910000.0,16.34329150982852,24.57722835794611
중구,2943304,4,134635,9960000.0,29.551244979919677,21.861358487763212
중랑구,7078975,6,399562,18500000.0,38.26472972972973,17.716837436993508
