순위,곡명,가수,앨범
1,Queendom,Red Velvet (레드벨벳),Queendom - The 6th Mini Album
2,신호등,이무진,신호등
3,낙하 (With 아이유),AKMU (악뮤),NEXT EPISODE
4,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
5,Weekend,태연 (TAEYEON),Weekend
6,Permission to Dance,방탄소년단,Butter / Permission to Dance
7,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
8,Next Level,aespa,Next Level
9,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5 (tvN 목요드라마)
10,Butter,방탄소년단,Butter
11,Bad Habits,Ed Sheeran,Bad Habits
12,Stay,The Kid LAROI & Justin Bieber,Stay
13,DUMB DUMB,전소미,DUMB DUMB
14,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1 (tvN 목요드라마)
15,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,Justice
16,비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021)
17,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
18,헤픈 우연,헤이즈 (Heize),HAPPEN
19,고백,10CM,두 번째 '고백'
20,치맛바람 (Chi Mat Ba Ram),브레이브걸스 (Brave girls),Summer Queen
21,롤린 (Rollin'),브레이브걸스 (Brave girls),Rollin'
22,하루만 더,빅마마 (Big Mama),하루만 더
23,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
24,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL
25,라일락,아이유 (IU),IU 5th Album 'LILAC'
26,안녕 (Hello),조이 (JOY),안녕 (Hello) - Special Album
27,Celebrity,아이유 (IU),IU 5th Album 'LILAC'
28,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
29,여전히 아름다운지,세븐틴 (SEVENTEEN),슬기로운 의사생활 시즌2 OST Part 8 (tvN 목요드라마)
30,Alcohol-Free,TWICE (트와이스),Taste of Love
31,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래
32,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단,Savage Love (Laxed - Siren Beat) (BTS Remix)
33,운전만해 (We Ride),브레이브걸스 (Brave girls),We Ride
34,나를 아는 사람,MSG워너비 (정상동기),MSG워너비 1집
35,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
36,상상더하기,라붐 (LABOUM),Fresh Adventure
37,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
38,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
39,HERO,임영웅,HERO
40,Timeless,SG워너비,Wanna Be＋
41,추적이는 여름 비가 되어,장범준,장범준 싱글
42,ASAP,STAYC (스테이씨),STAYDOM
43,At My Worst,Pink Sweat$,The Prelude
44,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part.4 (MBC 수목드라마)
45,아로하,조정석,슬기로운 의사생활 OST Part 3 (tvN 목요드라마)
46,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),호미들,사이렌 Remix
47,어푸 (Ah puh),아이유 (IU),IU 5th Album 'LILAC'
48,가을 우체국 앞에서,김대명,슬기로운 의사생활 시즌2 OST Part 2 (tvN 목요드라마)
49,Life Goes On,방탄소년단,BE
50,그대라는 사치,임영웅,사랑의 콜센타 PART62
51,슈퍼스타,미도와 파라솔,슬기로운 의사생활 시즌2 OST Part 6 (tvN 목요드라마)
52,Off My Face,Justin Bieber,Justice
53,끝사랑,임영웅,사랑의 콜센타 PART61
54,상상더하기,MSG워너비,MSG워너비 TOP 8 경연곡
55,이젠 잊기로 해요 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 시즌2 OST Special (tvN 목요드라마)
56,Bk Love,임영웅,뽕숭아학당 PART23
57,2002,Anne-Marie,Speak Your Mind (Deluxe)
58,봄날,방탄소년단,YOU NEVER WALK ALONE
59,Blueming,아이유 (IU),Love poem
60,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게
61,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
62,멜로디,ASH ISLAND,멜로디
63,미워요,임영웅,미워요 & 소나기
64,러브 (Prod. by 로코베리),로꼬 & 이성경,Love (Prod. by Rocoberry)
65,나는 너 좋아,장범준,슬기로운 의사생활 시즌2 OST Part 3 (tvN 목요드라마)
66,에잇 (Prod. & Feat. SUGA of BTS),아이유 (IU),에잇
67,잊었니,임영웅,사랑의 콜센타 PART60
68,METEOR,창모 (CHANGMO),Boyhood
69,은하수를 닮은 너에게 (Feat. 몰리디),경서예지,은하수를 닮은 너에게
70,계단말고 엘리베이터,임영웅,계단말고 엘리베이터
71,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭 & 정은지,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
72,12 : 45 (Stripped),etham,12 : 45 (Stripped)
73,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
74,넌 좋은 사람,SG워너비,넌 좋은 사람
75,DNA,방탄소년단,LOVE YOURSELF 承 'Her'
76,사랑의 아픔 딛고,임영웅,사랑의 콜센타 PART65
77,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)
78,밤하늘의 별을 (2020),경서,밤하늘의 별을 (2020)
79,Lovesick Girls,BLACKPINK,THE ALBUM
80,밤이 되니까,원슈타인,밤이 되니까
81,Kiss Me More (Feat. SZA),Doja Cat,Kiss Me More
82,목로주점,임영웅,사랑의 콜센타 PART50
83,라라라,SG워너비,My Friend
84,Way Back Home,숀 (SHAUN),Take
85,Dolphin,오마이걸 (OH MY GIRL),NONSTOP
86,고백,장범준,첫 번째 '고백'
87,제자리 걸음,V.O.S,제자리 걸음
88,Leave The Door Open,Bruno Mars & Anderson .Paak & Silk Sonic,Skate
89,잠이 오질 않네요,장범준,잠이 오질 않네요
90,VVS (Feat. JUSTHIS) (Prod. by GroovyRoom),미란이 (Mirani) & 먼치맨 (MUNCHMAN) & Khundi Panda & 머쉬베놈 (MUSHVENOM),쇼미더머니 9 Episode 1
91,오래된 노래,Standing Egg (스탠딩 에그),오래된 노래
92,ON,방탄소년단,MAP OF THE SOUL : 7
93,parachute,John K,love ＋ everything else
94,Coin,아이유 (IU),IU 5th Album 'LILAC'
95,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들)
96,전쟁터 (With 이선희),AKMU (악뮤),NEXT EPISODE
97,벌써 일년 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 시즌2 OST Special (tvN 목요드라마)
98,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11 (tvN 목요드라마)
99,안녕,폴킴,호텔 델루나 OST Part.10 (tvN 토일드라마)
100,Memories,Maroon 5,Memories
101,Dance Monkey,Tones And I,The Kids Are Coming
102,다시 사랑할 수 있을까,백지영 & 이홍기 (FT아일랜드),다시 사랑할 수 있을까
103,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까
104,너무 보고싶어,전상근,너무 보고싶어 (너에게 하고 싶은 말 X 전상근)
105,허리춤,오반 (OVAN),허리춤
106,소우주 (Mikrokosmos),방탄소년단,MAP OF THE SOUL : PERSONA
107,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
108,Pose,Red Velvet (레드벨벳),Queendom - The 6th Mini Album
109,Knock On Wood,Red Velvet (레드벨벳),Queendom - The 6th Mini Album
110,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2 (tvN 목요드라마)
111,너에게,유연석,슬기로운 의사생활 시즌2 OST Part 7 (tvN 목요드라마)
112,Tiny Riot,Sam Ryder,Tiny Riot
113,IDOL,방탄소년단,LOVE YOURSELF 結 'Answer'
114,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아
115,우린 어쩌다 헤어진 걸까,허각,Hello
116,THRILL RIDE,더보이즈 (THE BOYZ),THE BOYZ 6TH MINI ALBUM ［THRILL-ING］
117,사이렌,호미들,Ghetto Kids
118,Rainy day (Feat. ASH ISLAND & Skinny Brown),PATEKO (파테코),Rainy day
119,만개 (Prod. 신지후),김호중,우리家
120,On The Ground,로제 (ROSE),R
121,Don't Start Now,Dua Lipa,Future Nostalgia
122,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP
123,그냥 안아달란 말야,다비치,그냥 안아달란 말야
124,Bad,Christopher,Under the Surface
