카테고리,채널명,구독자수,조회수,비디오수
음악/댄스/가수,BLACKPINK,"64,000,000","19,003,810,000",371
음악/댄스/가수,HYBE LABELS,"60,300,000","18,713,050,000",654
음악/댄스/가수,BANGTANTV,"56,400,000","12,194,960,000","1,579"
음악/댄스/가수,SMTOWN,"28,500,000","21,870,920,000","3,729"
키즈/어린이,Boram Tube Vlog [보람튜브 브이로그],"26,500,000","11,052,880,000",223
음악/댄스/가수,1MILLION Dance Studio,"24,200,000","6,694,900,000","2,897"
음악/댄스/가수,1theK (원더케이),"23,200,000","20,599,350,000","14,983"
음악/댄스/가수,JYP Entertainment,"21,600,000","13,725,340,000","1,327"
미분류,Coldplay,"19,300,000","12,771,640,000",279
음악/댄스/가수,Mnet K-POP,"18,400,000","12,947,130,000","25,395"
음악/댄스/가수,JFlaMusic,"17,200,000","3,420,990,000",279
TV/방송,KBS WORLD TV,"16,600,000","12,358,210,000","52,362"
음악/댄스/가수,officialpsy,"15,000,000","8,624,700,000",90
음식/요리/레시피,Jane ASMR 제인,"14,200,000","4,912,630,000","1,189"
음악/댄스/가수,BIGBANG,"13,800,000","6,678,340,000",773
음악/댄스/가수,TWICE,"11,500,000","2,203,720,000",592
키즈/어린이,Nao FunFun,"10,800,000","3,890,000",34
음악/댄스/가수,Stone Music Entertainment,"9,980,000","7,861,800,000","7,915"
키즈/어린이,DuDuPopTOY,"9,840,000","4,371,040,000","1,743"
음식/요리/레시피,Hongyu ASMR 홍유,"9,760,000","2,692,860,000",385
키즈/어린이,핑크퐁 (인기 동요・동화),"9,440,000","5,708,190,000","2,225"
TV/방송,MBCkpop,"9,420,000","7,361,290,000","40,659"
키즈/어린이,서은이야기[SeoeunStory],"9,370,000","3,997,100,000","1,001"
키즈/어린이,Larva TUBA,"9,320,000","4,049,880,000","2,862"
키즈/어린이,Toymong tv 토이몽TV,"9,270,000","3,823,200,000","1,832"
미분류,The Late Show with Stephen Colbert,"8,600,000","7,826,150,000","8,348"
뉴스/정치/사회,MBCentertainment,"8,380,000","14,317,700,000","85,420"
음악/댄스/가수,Mnet Official,"8,330,000","9,056,020,000","18,118"
음악/댄스/가수,iKON,"8,310,000","2,091,530,000",468
음악/댄스/가수,EXO,"8,280,000","464,730,000",201
미분류,WIRED,"8,110,000","2,607,720,000","3,220"
미분류,Nintendo,"8,020,000","2,726,300,000","5,141"
미분류,BBC Radio 1,"7,590,000","3,192,060,000","4,414"
TV/방송,M2,"7,490,000","5,527,320,000","14,278"
키즈/어린이,MariAndKids,"7,480,000","2,288,600,000",808
음식/요리/레시피,[햄지]Hamzy,"7,440,000","2,145,010,000",331
음악/댄스/가수,TOMORROW X TOGETHER OFFICIAL,"7,350,000","443,910,000",741
키즈/어린이,SonicToy소닉토이,"7,170,000","2,934,780,000",164
음악/댄스/가수,Stray Kids,"6,950,000","1,010,790,000",464
음식/요리/레시피,Travel Thirsty,"6,880,000","2,897,760,000",676
뉴스/정치/사회,JTBC Entertainment,"6,840,000","9,715,500,000","63,970"
해외,Serie A,"6,830,000","2,387,360,000","20,486"
음악/댄스/가수,SEVENTEEN,"6,800,000","2,115,840,000",870
음악/댄스/가수,Sungha Jung,"6,730,000","1,871,010,000","1,263"
음악/댄스/가수,이지금 [IU Official],"6,630,000","926,330,000",125
음식/요리/레시피,문복희 Eat with Boki,"6,470,000","1,442,870,000",422
음악/댄스/가수,ALL THE K-POP,"6,380,000","3,885,050,000","19,505"
음식/요리/레시피,쏘영 Ssoyoung,"6,360,000","933,110,000",566
음악/댄스/가수,YG ENTERTAINMENT,"6,350,000","1,630,960,000",389
TV/방송,KBS Kpop,"6,260,000","4,710,370,000","29,013"
음악/댄스/가수,GOT7,"6,040,000","754,270,000",579
음악/댄스/가수,MAMAMOO,"6,020,000","1,614,050,000",600
패션/미용,PONY Syndrome,"5,860,000","354,640,000",188
