,title,date,content
0,[스마트폰] 삼성 갤럭시Z 플립3 언박싱 후기,2021.08.16.,"진짜 역대급으로 나온 스마트폰, 삼성 갤럭시Z 플립3 언박싱 후기 함께 공개된 삼성 갤럭시Z 폴드3가 기대... 아무래도 기존 스마트폰과 거의 비슷한 비율과 함께 큰 화면을 반으로 접어서 가지고 다니면서 컴팩트하게..."
1,갤럭시 A03s의 출시소식과 상세 정보: 개발도상국용 초저가 스마트폰,7일 전,"삼성이 인도시장 등 개발도상국용 초저가 스마트폰인 A0x 시리즈를 지난 2019년부터 꾸준히 내고 있는데요, 이 등급의 스마트폰은 외국의 마트같은 곳에서 선불폰 용도로 활용하거나 개발도상국에 스마트폰을..."
2,에어팟 프로 안드로이드 스마트폰과 연결하는 방법,2021.08.21.,"그러면 이때 스마트폰 블루투스 메뉴로 가줍니다. 찾기를 눌러주면, 이렇게 검색이 되는 것을 확인할 수... 참고하셔서 에어팟 프로 안드로이드 스마트폰 연결 방법 알아두시고 간편하게 사용해보시기 바랍니다."
3,갤럭시 굿락 루틴+ 스마트폰 배터리 충전 구간 알림,2021.08.08.,갤럭시 스마트폰을 사용하고 있다면 굿락 앱은 꼭 써볼 것을 추천드려요. 지속적인 업데이트를 통해 기능들이 하나씩 추가되고 있는데 오늘은 굿락의 '루틴+'에 대해 얘기해 드리겠습니다. 이미 빅스비 루틴은 사용하고...
4,삼성 갤럭시노트10 가격 2021년에도 매력적인 스마트폰,2021.06.23.,"일상에서 스마트폰 사용량은 점점 늘어나고 있습니다. 카카오톡, 라인 같은 기본적인 메신저부터 유튜브나 넷플릭스 등의 동영상 콘텐츠의 발달로 인해 스마트폰에 많은 시간을 사용하고 있죠. 때문에 단말기를 바꿀 때..."
5,삼성 스마트폰 갤럭시 Z폴드3 KT 요금제 가격 알아보기,6일 전,아깝다 생각하지 말고 꼭 가입하시길~ 이 외에도 무제한 요금제 이용하면 연 최대 5% 혜택이 생기는 스마트 통장 그리고 KT 샵에서는 한정판 기프트 세트를 득템할 수 있는 기회가 있다고 하니 삼성 스마트폰 가격을...
6,"넷플릭스티비연결 HDCP 스마트폰미러링과 삼성DEX, 요이치 C타입HDMI케이블",2021.08.19.,"스마트폰 하나로 원하는 건 거의 모두 다 가능한 시대를 살고 있다. 스마트폰 알람 시계 소리에 일어나서 일정관리 앱을 실행해 하루 일과를 확인하고, 출근길 좋아하는 음악 감상이나 유튜브 영상을 시청 하는 등......"
7,스마트폰 개인 정보 보호 상식과 소소한 팁!,4일 전,모바일뱅킹까지 스마트폰으로 모든 생활을 공유하면서 개인 정보의 중요성에 대해 목소리가 높아지고 있습니다. 사실 이미 택배문자를 사칭하거나 불법으로 이어지는 링크 메일을 보내는 방식 등으로 스마트폰 해킹...
8,"5 in 1 멀티 고속 무선충전기 스마트폰, 에어팟, 워치, 펜슬까지 한 번에!",4일 전,"스마트폰부터 이어폰, 워치에 이르기까지 다양한 웨어러블 디바이스가 출시되고 있습니다. 이제는 주위에... 단, 스마트 워치 충전부는 케이블을 직접 내부에 연결하도록 되어 있다는 점 참고하시기 바랍니다. 외관을..."
9,"평택, 오산 스마트폰 성지 좌표 이렇게!",2021.08.06.,"요즘 스마트폰 구입의 트렌드는 '성지 찾기'입니다. 이렇게 저렇게 가격을 따져보고 개인적으로 유리한 조건을 찾다 보면, 자급제나 중고 구매가 아닌 이상에야 조건이 괜찮은 스마트폰 성지로 향하게 됩니다. 정말 몇 해..."
10,스마트폰 생태교란종 포코 X3 GT 공개,2021.07.28.,오늘(7월 28일) 20시 스마트폰 생태를 교란하는 수준의 가성비 모델의 공개를 예고하고 있습니다. 포코 X3 GT 모델로 네이밍 조차 재탕에 재탕을 거듭하는 느낌이기도 한데요. 샤오미의 글로벌 모델인 홍미노트10...
11,스마트폰 거치 위치와 방법 결정,2021.08.22.,"와이프는 테슬라 내비게이션에 적응하겠다며 스마트폰 거치대가 필요 없다는 입장이었지만, 전... 그런데 가만 생각해 보니, 이런 거치대는 스마트폰을 종종 가로 - 세로로 바꿔 거치할 때마다 일일이 거치대의 방향을..."
