기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2021.2/4	합계	4,405,638	9,795,426	4,756,178	5,039,248	9,565,990	4,649,442	4,916,548	229,436	106,736	122,700	2.17	1,576,971
2021.2/4	종로구	73,525	155,106	75,009	80,097	146,029	70,985	75,044	9,077	4,024	5,053	1.99	27,605
2021.2/4	중구	62,897	132,259	64,526	67,733	123,016	60,019	62,997	9,243	4,507	4,736	1.96	23,980
2021.2/4	용산구	111,650	240,665	116,858	123,807	226,378	108,948	117,430	14,287	7,910	6,377	2.03	38,884
2021.2/4	성동구	134,542	295,767	143,927	151,840	289,162	141,042	148,120	6,605	2,885	3,720	2.15	45,591
2021.2/4	광진구	166,957	355,306	170,624	184,682	342,481	165,233	177,248	12,825	5,391	7,434	2.05	50,815
2021.2/4	동대문구	166,372	352,259	172,865	179,394	338,040	167,335	170,705	14,219	5,530	8,689	2.03	61,262
2021.2/4	중랑구	185,073	394,679	194,556	200,123	389,972	192,688	197,284	4,707	1,868	2,839	2.11	70,172
2021.2/4	성북구	194,364	443,206	212,849	230,357	433,658	209,210	224,448	9,548	3,639	5,909	2.23	73,568
2021.2/4	강북구	144,525	306,093	148,824	157,269	302,645	147,542	155,103	3,448	1,282	2,166	2.09	63,383
2021.2/4	도봉구	138,387	322,419	156,843	165,576	320,365	156,080	164,285	2,054	763	1,291	2.31	62,894
2021.2/4	노원구	217,322	520,005	250,532	269,473	515,997	248,719	267,278	4,008	1,813	2,195	2.37	86,697
2021.2/4	은평구	213,662	479,409	229,241	250,168	475,371	227,584	247,787	4,038	1,657	2,381	2.22	85,921
2021.2/4	서대문구	143,226	317,699	150,608	167,091	307,070	146,844	160,226	10,629	3,764	6,865	2.14	53,627
2021.2/4	마포구	178,625	379,984	177,998	201,986	370,132	174,200	195,932	9,852	3,798	6,054	2.07	53,891
2021.2/4	양천구	181,012	454,288	222,538	231,750	450,992	221,140	229,852	3,296	1,398	1,898	2.49	66,942
2021.2/4	강서구	269,276	582,995	280,822	302,173	577,519	278,360	299,159	5,476	2,462	3,014	2.14	90,404
2021.2/4	구로구	180,258	424,582	210,936	213,646	399,266	197,034	202,232	25,316	13,902	11,414	2.21	71,186
2021.2/4	금천구	115,358	244,685	124,394	120,291	230,168	116,491	113,677	14,517	7,903	6,614	2	40,181
2021.2/4	영등포구	185,025	402,375	199,881	202,494	377,421	186,482	190,939	24,954	13,399	11,555	2.04	61,571
2021.2/4	동작구	183,859	397,231	191,657	205,574	387,847	187,617	200,230	9,384	4,040	5,344	2.11	65,732
2021.2/4	관악구	274,565	502,698	251,713	250,985	488,800	245,404	243,396	13,898	6,309	7,589	1.78	78,647
2021.2/4	서초구	171,574	422,174	202,027	220,147	418,407	200,163	218,244	3,767	1,864	1,903	2.44	60,395
2021.2/4	강남구	232,707	536,107	256,449	279,658	531,375	254,139	277,236	4,732	2,310	2,422	2.28	76,184
2021.2/4	송파구	280,707	664,341	320,113	344,228	658,670	317,531	341,139	5,671	2,582	3,089	2.35	95,164
2021.2/4	강동구	200,170	469,094	230,388	238,706	465,209	228,652	236,557	3,885	1,736	2,149	2.32	72,275
