광역시도,시군구,행정구,구분,인구수,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
전국,소계,,계,51349259 ,1760638 ,2305389 ,2314984 ,2551013 ,3272265 ,3505180 ,3130579 ,3786438 ,3863755 ,4380758 ,4331294 ,4207585 ,3804710 ,2635592 ,2000709 ,1602663 ,1895712 ,1110912 ,784800 ,549651 ,188044 ,41269 ,5838 
전국,소계,,남자,25606081 ,903178 ,1182551 ,1192977 ,1325906 ,1709726 ,1852731 ,1623892 ,1933536 ,1962337 ,2224690 ,2184220 ,2115455 ,1878930 ,1271780 ,934280 ,682115 ,627781 ,413380 ,214401 ,163454 ,42102 ,7951 ,895 
전국,소계,,여자,25743179 ,857460 ,1122838 ,1122008 ,1225107 ,1562539 ,1652449 ,1506688 ,1852902 ,1901418 ,2156068 ,2147074 ,2092130 ,1925780 ,1363813 ,1066429 ,920548 ,1267931 ,697532 ,570399 ,386197 ,145942 ,33318 ,4943 
서울특별시,소계,,계,9533412 ,285507 ,356876 ,369851 ,427350 ,631878 ,816546 ,719526 ,756788 ,714459 ,801399 ,762280 ,732788 ,689251 ,496050 ,385834 ,289717 ,297316 ,178206 ,119110 ,81872 ,29510 ,6769 ,961 
서울특별시,소계,,남자,4642653 ,146912 ,182974 ,190281 ,219321 ,303776 ,402081 ,359045 ,379353 ,353614 ,396806 ,375169 ,356333 ,326997 ,233225 ,177616 ,130498 ,108657 ,72558 ,36099 ,26993 ,7379 ,1550 ,178 
서울특별시,소계,,여자,4890760 ,138596 ,173902 ,179570 ,208030 ,328102 ,414466 ,360482 ,377436 ,360845 ,404593 ,387111 ,376455 ,362254 ,262825 ,208218 ,159219 ,188659 ,105648 ,83011 ,54879 ,22131 ,5219 ,783 
서울특별시, 종로구,,계,144866 ,3309 ,4549 ,5120 ,6182 ,10602 ,12668 ,9995 ,9796 ,9650 ,12221 ,12287 ,12160 ,10735 ,7637 ,6245 ,5450 ,6265 ,3682 ,2583 ,1749 ,639 ,169 ,26 
서울특별시, 종로구,,남자,70613 ,1668 ,2297 ,2575 ,3099 ,4976 ,6526 ,5005 ,4820 ,4636 ,5993 ,6072 ,6180 ,5409 ,3744 ,2842 ,2369 ,2406 ,1517 ,889 ,642 ,189 ,52 ,6 
서울특별시, 종로구,,여자,74253 ,1641 ,2252 ,2545 ,3083 ,5627 ,6142 ,4991 ,4976 ,5014 ,6228 ,6215 ,5981 ,5326 ,3893 ,3403 ,3081 ,3859 ,2165 ,1694 ,1107 ,451 ,117 ,20 
서울특별시, 중구,,계,121520 ,3483 ,3611 ,3093 ,3869 ,7605 ,10768 ,10031 ,10051 ,8465 ,9184 ,9864 ,10108 ,9512 ,6872 ,5475 ,4501 ,5030 ,2904 ,2126 ,1429 ,558 ,124 ,16 
서울특별시, 중구,,남자,59536 ,1772 ,1852 ,1550 ,1976 ,3543 ,5289 ,4981 ,5051 ,4376 ,4636 ,5005 ,5127 ,4782 ,3380 ,2523 ,1943 ,1754 ,1125 ,629 ,439 ,153 ,32 ,6 
서울특별시, 중구,,여자,61984 ,1711 ,1760 ,1543 ,1894 ,4062 ,5479 ,5050 ,5001 ,4089 ,4549 ,4860 ,4981 ,4730 ,3492 ,2952 ,2559 ,3276 ,1779 ,1497 ,990 ,405 ,92 ,11 
서울특별시, 용산구,,계,219404 ,6548 ,7216 ,7168 ,8648 ,13540 ,19187 ,18519 ,18788 ,16188 ,18255 ,17808 ,16916 ,15452 ,10694 ,8500 ,7238 ,8741 ,5102 ,3640 ,2464 ,904 ,238 ,34 
서울특별시, 용산구,,남자,106237 ,3393 ,3725 ,3611 ,4453 ,6361 ,9328 ,9239 ,9405 ,7951 ,8971 ,8800 ,8404 ,7545 ,5085 ,3809 ,3056 ,3105 ,1950 ,1155 ,846 ,229 ,74 ,6 
서울특별시, 용산구,,여자,113167 ,3156 ,3491 ,3557 ,4195 ,7180 ,9860 ,9280 ,9383 ,8237 ,9285 ,9008 ,8512 ,7907 ,5609 ,4691 ,4182 ,5637 ,3152 ,2485 ,1618 ,675 ,164 ,28 
서울특별시, 성동구,,계,291841 ,10620 ,10585 ,9310 ,11203 ,19866 ,25368 ,23851 ,25563 ,21810 ,23378 ,23434 ,23143 ,20782 ,14025 ,11034 ,8845 ,9028 ,5547 ,3482 ,2455 ,821 ,178 ,28 
서울특별시, 성동구,,남자,142673 ,5462 ,5382 ,4735 ,5521 ,9628 ,12760 ,11445 ,12877 ,11092 ,11583 ,11614 ,11589 ,10243 ,6673 ,4992 ,3866 ,3214 ,2155 ,1060 ,799 ,207 ,48 ,7 
서울특별시, 성동구,,여자,149168 ,5158 ,5203 ,4575 ,5682 ,10238 ,12608 ,12406 ,12686 ,10719 ,11795 ,11820 ,11554 ,10539 ,7352 ,6043 ,4979 ,5814 ,3392 ,2422 ,1657 ,614 ,131 ,21 
서울특별시, 광진구,,계,343783 ,9107 ,11488 ,12259 ,14399 ,26070 ,35975 ,29172 ,27355 ,24710 ,27864 ,27568 ,26348 ,24044 ,16401 ,12294 ,9299 ,9434 ,5781 ,3654 ,2530 ,876 ,207 ,41 
서울특별시, 광진구,,남자,166230 ,4654 ,5881 ,6280 ,7312 ,11947 ,17355 ,14389 ,13566 ,12209 ,13683 ,13316 ,12909 ,11467 ,7793 ,5713 ,4249 ,3512 ,2388 ,1124 ,834 ,239 ,45 ,7 
서울특별시, 광진구,,여자,177554 ,4454 ,5608 ,5980 ,7088 ,14123 ,18620 ,14784 ,13789 ,12501 ,14182 ,14252 ,13439 ,12578 ,8608 ,6581 ,5050 ,5922 ,3393 ,2530 ,1697 ,637 ,163 ,34 
서울특별시, 동대문구,,계,337801 ,9990 ,11437 ,11100 ,13225 ,25595 ,29694 ,24184 ,26078 ,24010 ,26403 ,26376 ,26082 ,25502 ,18789 ,15062 ,12222 ,12056 ,7391 ,4665 ,3318 ,1046 ,263 ,39 
서울특별시, 동대문구,,남자,167564 ,5116 ,5887 ,5681 ,6639 ,12008 ,15685 ,12562 ,13440 ,12426 ,13549 ,13324 ,12985 ,12405 ,8979 ,6904 ,5421 ,4557 ,3064 ,1493 ,1130 ,285 ,71 ,8 
서울특별시, 동대문구,,여자,170237 ,4874 ,5550 ,5419 ,6586 ,13588 ,14010 ,11622 ,12638 ,11584 ,12854 ,13052 ,13097 ,13097 ,9810 ,8158 ,6802 ,7499 ,4327 ,3172 ,2188 ,761 ,193 ,32 
서울특별시, 중랑구,,계,390233 ,11147 ,12723 ,12421 ,15135 ,23984 ,31890 ,28443 ,29818 ,26968 ,30631 ,33613 ,35135 ,32694 ,22863 ,17331 ,13002 ,12440 ,7672 ,4769 ,3326 ,1151 ,256 ,36 
