"시군구/성/연령(5세)별 주민등록연앙인구"

"C행정구역(시군구)별","행정구역(시군구)별","C성별","성별","C연령별","연령별","시점","주민등록연앙인구 (명)"
'00,"전국",'0,"계",'000,"계",2020,51349259.0000
'00,"전국",'0,"계",'020,"0 - 4세",2020,1760637.5000
'00,"전국",'0,"계",'050,"5 - 9세",2020,2305388.5000
'00,"전국",'0,"계",'070,"10 - 14세",2020,2314984.0000
'00,"전국",'0,"계",'100,"15 - 19세",2020,2551012.5000
'00,"전국",'0,"계",'120,"20 - 24세",2020,3272265.0000
'00,"전국",'0,"계",'130,"25 - 29세",2020,3505179.5000
'00,"전국",'0,"계",'150,"30 - 34세",2020,3130579.0000
'00,"전국",'0,"계",'160,"35 - 39세",2020,3786437.5000
'00,"전국",'0,"계",'180,"40 - 44세",2020,3863754.5000
'00,"전국",'0,"계",'190,"45 - 49세",2020,4380758.0000
'00,"전국",'0,"계",'210,"50 - 54세",2020,4331294.0000
'00,"전국",'0,"계",'230,"55 - 59세",2020,4207585.0000
'00,"전국",'0,"계",'260,"60 - 64세",2020,3804709.5000
'00,"전국",'0,"계",'280,"65 - 69세",2020,2635592.0000
'00,"전국",'0,"계",'310,"70 - 74세",2020,2000708.5000
'00,"전국",'0,"계",'330,"75 - 79세",2020,1602662.5000
'00,"전국",'0,"계",'340,"80세 이상",2020,1895711.5000
'00,"전국",'0,"계",'360,"80 - 84세",2020,1110911.5000
'00,"전국",'0,"계",'370,"85세 이상",2020,784800.0000
'00,"전국",'0,"계",'380,"85 - 89세",2020,549650.5000
'00,"전국",'0,"계",'410,"90 - 94세",2020,188043.5000
'00,"전국",'0,"계",'430,"95 - 99세",2020,41268.5000
'00,"전국",'0,"계",'440,"100세 이상",2020,5837.5000
'00,"전국",'1,"남자",'000,"계",2020,25606080.5000
'00,"전국",'1,"남자",'020,"0 - 4세",2020,903178.0000
'00,"전국",'1,"남자",'050,"5 - 9세",2020,1182550.5000
'00,"전국",'1,"남자",'070,"10 - 14세",2020,1192976.5000
'00,"전국",'1,"남자",'100,"15 - 19세",2020,1325906.0000
'00,"전국",'1,"남자",'120,"20 - 24세",2020,1709726.0000
'00,"전국",'1,"남자",'130,"25 - 29세",2020,1852731.0000
'00,"전국",'1,"남자",'150,"30 - 34세",2020,1623891.5000
'00,"전국",'1,"남자",'160,"35 - 39세",2020,1933535.5000
'00,"전국",'1,"남자",'180,"40 - 44세",2020,1962337.0000
'00,"전국",'1,"남자",'190,"45 - 49세",2020,2224690.0000
'00,"전국",'1,"남자",'210,"50 - 54세",2020,2184220.0000
'00,"전국",'1,"남자",'230,"55 - 59세",2020,2115455.0000
'00,"전국",'1,"남자",'260,"60 - 64세",2020,1878929.5000
'00,"전국",'1,"남자",'280,"65 - 69세",2020,1271779.5000
'00,"전국",'1,"남자",'310,"70 - 74세",2020,934279.5000
'00,"전국",'1,"남자",'330,"75 - 79세",2020,682114.5000
'00,"전국",'1,"남자",'340,"80세 이상",2020,627780.5000
'00,"전국",'1,"남자",'360,"80 - 84세",2020,413379.5000
'00,"전국",'1,"남자",'370,"85세 이상",2020,214401.0000
'00,"전국",'1,"남자",'380,"85 - 89세",2020,163454.0000
'00,"전국",'1,"남자",'410,"90 - 94세",2020,42101.5000
'00,"전국",'1,"남자",'430,"95 - 99세",2020,7951.0000
'00,"전국",'1,"남자",'440,"100세 이상",2020,894.5000
'00,"전국",'2,"여자",'000,"계",2020,25743178.5000
'00,"전국",'2,"여자",'020,"0 - 4세",2020,857459.5000
'00,"전국",'2,"여자",'050,"5 - 9세",2020,1122838.0000
'00,"전국",'2,"여자",'070,"10 - 14세",2020,1122007.5000
'00,"전국",'2,"여자",'100,"15 - 19세",2020,1225106.5000
'00,"전국",'2,"여자",'120,"20 - 24세",2020,1562539.0000
'00,"전국",'2,"여자",'130,"25 - 29세",2020,1652448.5000
'00,"전국",'2,"여자",'150,"30 - 34세",2020,1506687.5000
'00,"전국",'2,"여자",'160,"35 - 39세",2020,1852902.0000
'00,"전국",'2,"여자",'180,"40 - 44세",2020,1901417.5000
'00,"전국",'2,"여자",'190,"45 - 49세",2020,2156068.0000
'00,"전국",'2,"여자",'210,"50 - 54세",2020,2147074.0000
'00,"전국",'2,"여자",'230,"55 - 59세",2020,2092130.0000
'00,"전국",'2,"여자",'260,"60 - 64세",2020,1925780.0000
'00,"전국",'2,"여자",'280,"65 - 69세",2020,1363812.5000
'00,"전국",'2,"여자",'310,"70 - 74세",2020,1066429.0000
'00,"전국",'2,"여자",'330,"75 - 79세",2020,920548.0000
'00,"전국",'2,"여자",'340,"80세 이상",2020,1267931.0000
'00,"전국",'2,"여자",'360,"80 - 84세",2020,697532.0000
