광역시도,시군구,20-39세계,20-39세남자,20-39세여자,65세이상계,65세이상남자,65세이상여자,인구수계,인구수남자,인구수여자,소멸비율,소멸위기지역,소멸위기고위험지역
강원도,강릉시,47006,25199,21807,43830,18604,25227,211643,105025,106618,0.4975359342915811,True,False
강원도,고성군,5217,3175,2042,7755,3237,4519,26792,13864,12928,0.26331399097356545,True,False
강원도,동해시,18727,10469,8258,17572,7624,9949,89814,45572,44242,0.4699521966765308,True,False
강원도,삼척시,13583,7469,6117,16077,6766,9311,65623,33275,32348,0.3804814331031909,True,False
강원도,속초시,18080,9909,8171,15170,6345,8826,81497,40312,41185,0.5386288727752142,False,False
강원도,양구군,5816,3611,2207,4558,1970,2589,22379,11903,10477,0.48420359806932867,True,False
강원도,양양군,4740,2678,2064,8083,3524,4559,27628,14057,13571,0.2553507361128294,True,False
강원도,영월군,6203,3493,2712,11051,4877,6175,38345,19824,18521,0.24540765541579948,True,False
강원도,원주시,90119,46821,43299,51187,21877,29312,349361,173416,175946,0.8458983726336765,False,False
강원도,인제군,8018,4963,3057,6300,2846,3457,31502,17042,14461,0.48523809523809525,True,False
강원도,정선군,6046,3430,2617,9750,4245,5506,36313,18912,17402,0.2684102564102564,True,False
강원도,철원군,10704,6498,4206,9872,4176,5697,44768,23342,21426,0.42605348460291737,True,False
강원도,춘천시,71296,37087,34211,48578,20650,27929,279745,137994,141751,0.7042488369220635,False,False
강원도,태백시,7685,4203,3482,10034,4276,5759,42288,21395,20894,0.34702013155272077,True,False
강원도,평창군,6654,3730,2925,11392,5066,6328,41489,21255,20235,0.25675912921348315,True,False
강원도,홍천군,12874,7362,5513,17500,7897,9603,68652,35274,33379,0.31502857142857144,True,False
강원도,화천군,6754,4372,2382,5404,2349,3055,24704,13401,11303,0.4407846039970392,True,False
강원도,횡성군,7436,4067,3369,13230,6052,7179,46150,23624,22526,0.2546485260770975,True,False
