상호명,지점명,시도명,시군구명,도로명주소
이디야커피,원주반곡동점,강원도,원주시,강원도 원주시 오리현길 16-9
이디야커피,춘천제일점,강원도,춘천시,강원도 춘천시 춘주로 89
이디야커피,흥업점,강원도,원주시,강원도 원주시 흥업면 남원로 85
이디야커피,속초동명항점,강원도,속초시,강원도 속초시 동명항길 49
이디야커피,정동진역점,강원도,강릉시,강원도 강릉시 강동면 정동역길 17
이디야커피,강릉입암남부점,강원도,강릉시,강원도 강릉시 성덕포남로 74
이디야커피,강릉터미널점,강원도,강릉시,강원도 강릉시 하슬라로 24
이디야커피,주문진점,강원도,강릉시,강원도 강릉시 주문진읍 항구로 50
이디야커피,대관령점,강원도,평창군,강원도 평창군 대관령면 눈마을길 11
이디야에스프레소,,강원도,춘천시,강원도 춘천시 시청길10번길 4-1
이디야커피,강원정선점,강원도,정선군,강원도 정선군 정선읍 비봉로 55
이디야커피,춘천삭주로점,강원도,춘천시,강원도 춘천시 삭주로 197-1
이디야커피,동송터미널점,강원도,철원군,강원도 철원군 동송읍 이평1로 1
이디야커피,강원화천점,강원도,화천군,강원도 화천군 화천읍 상승로 42-7
이디야커피,무실점,강원도,원주시,강원도 원주시 시청로 70
이디야커피,세인트존스경포호텔점,강원도,강릉시,강원도 강릉시 창해로 307
이디야커피강릉올림픽선수촌점,강릉올림픽선수촌점,강원도,강릉시,강원도 강릉시 선수촌로 79-15
이디야커피,연봉점,강원도,홍천군,강원도 홍천군 홍천읍 연봉로 32
이디야커피,속초중앙점,강원도,속초시,강원도 속초시 수복로 197-1
이디야커피,중앙점,강원도,원주시,강원도 원주시 무실로12번길 33
이디야커피,강원양구점,강원도,양구군,강원도 양구군 양구읍 중앙길 10
이디야커피,삼척중앙점,강원도,삼척시,강원도 삼척시 대학로 30-1
이디야커피인제점인제점,인제점,강원도,인제군,강원도 인제군 인제읍 인제로 200-1
이디야커피,문막극동점,강원도,원주시,강원도 원주시 문막읍 건등로 56-1
양양이디야,,강원도,양양군,강원도 양양군 양양읍 양양로 72
이디야커피,우두동점,강원도,춘천시,강원도 춘천시 충열로 39
이디야커피,동해천곡점,강원도,동해시,강원도 동해시 한섬로 112
이디야커피,거두점,강원도,춘천시,강원도 춘천시 동내면 춘천순환로 134
이디야커피,원주터미널점,강원도,원주시,강원도 원주시 서원대로 168
이디야커피,춘천학곡점,강원도,춘천시,강원도 춘천시 동내면 영서로 1783
