ID,이디야,스타벅스,커피빈,빽다방,커피지수
가평,9,2,0,0,0.2222222222222222
강릉,15,5,0,2,0.29411764705882354
강진,1,0,0,0,0.0
거제,9,6,0,0,0.6666666666666666
거창,1,0,0,1,0.0
경산,9,8,0,4,0.6153846153846154
경주,25,8,2,1,0.38461538461538464
고령,1,1,0,0,1.0
고성(경남),1,0,0,2,0.0
고양 덕양,18,15,1,8,0.6153846153846154
고양 일산동,12,11,5,6,0.8888888888888888
고양 일산서,12,15,5,2,1.4285714285714286
고창,1,1,0,1,0.5
고흥,3,0,0,0,0.0
곡성,1,0,0,0,0.0
공주,5,2,0,1,0.3333333333333333
과천,2,3,0,0,1.5
광명,7,10,1,2,1.2222222222222223
광양,9,2,0,1,0.2
광주,14,5,0,4,0.2777777777777778
광주 광산,20,13,0,2,0.5909090909090909
광주 남구,8,11,2,1,1.4444444444444444
광주 동구,4,9,1,4,1.25
광주 북구,14,11,0,3,0.6470588235294118
광주 서구,14,12,2,2,0.875
괴산,2,0,0,0,0.0
구례,1,0,0,0,0.0
구리,9,3,0,3,0.25
구미,15,10,1,5,0.55
군산,8,4,0,1,0.4444444444444444
군포,8,5,2,9,0.4117647058823529
금산,1,0,1,0,1.0
김제,1,0,0,1,0.0
김천,3,2,0,0,0.6666666666666666
김포,22,14,2,13,0.45714285714285713
김해,32,12,1,3,0.37142857142857144
나주,5,1,0,0,0.2
남양주,44,12,1,5,0.2653061224489796
남원,1,0,0,1,0.0
남해,1,0,0,0,0.0
논산,2,2,0,1,0.6666666666666666
단양,1,0,0,0,0.0
담양,1,0,0,0,0.0
당진,7,3,0,3,0.3
대구 남구,6,3,0,0,0.5
대구 달서,14,18,0,7,0.8571428571428571
대구 달성,9,4,0,3,0.3333333333333333
대구 동구,8,8,0,2,0.8
대구 북구,9,6,0,4,0.46153846153846156
대구 서구,2,2,0,1,0.6666666666666666
대구 수성,9,21,2,3,1.9166666666666667
대구 중구,7,8,3,3,1.1
대전 대덕,3,5,0,2,1.0
대전 동구,2,4,0,4,0.6666666666666666
대전 서구,14,24,1,14,0.8928571428571429
대전 유성,13,12,1,8,0.6190476190476191
대전 중구,3,5,0,7,0.5
동두천,2,3,0,1,1.0
동해,1,1,1,1,1.0
목포,11,5,0,9,0.25
무안,4,1,0,2,0.16666666666666666
무주,1,0,0,0,0.0
문경,4,1,0,1,0.2
밀양,6,3,0,0,0.5
보령,1,1,0,1,0.5
보은,1,1,0,0,1.0
부산 강서,7,3,1,0,0.5714285714285714
부산 금정,8,8,0,1,0.8888888888888888
부산 기장,5,4,1,0,1.0
부산 남구,13,6,0,1,0.42857142857142855
부산 동구,2,5,1,0,3.0
부산 동래,13,5,0,1,0.35714285714285715
부산 부산진,13,19,1,3,1.25
부산 북구,8,3,1,3,0.36363636363636365
부산 사상,4,3,0,0,0.75
부산 사하,8,8,0,1,0.8888888888888888
부산 서구,3,2,0,0,0.6666666666666666
부산 수영,5,6,1,0,1.4
부산 연제,9,6,0,0,0.6666666666666666
부산 영도,2,1,0,0,0.5
부산 중구,5,8,3,3,1.375
부산 해운대,8,33,4,2,3.7
부안,4,1,0,1,0.2
부여,2,0,0,0,0.0
부천,29,17,6,11,0.575
사천,3,2,0,0,0.6666666666666666
산청,1,1,0,0,1.0
삼척,4,0,0,1,0.0
상주,2,0,1,0,0.5
